Month,Edmonton International Total,  E-Domestic,  E-Transborder,  E-International,Calgary International Total,  C-Domestic,  C-Transborder,  C-International
Jan,562.40,400.00,97.00,65.40,1205.90,810.90,236.30,158.60
Feb,554.20,397.90,95.20,61.10,1193.50,810.70,237.00,145.80
Mar,578.30,426.70,95.50,56.10,1304.20,892.50,263.20,148.60
Apr,534.50,399.50,85.70,49.30,1198.60,836.60,222.20,139.80
May,592.00,492.70,70.50,28.80,1257.90,920.90,225.30,111.70
June,583.40,497.60,63.00,22.80,1322.10,966.90,241.00,114.10
July,645.00,559.10,60.20,25.70,1549.50,1122.60,290.50,136.40
August,669.50,586.20,57.20,26.10,1562.90,1140.80,284.80,137.30
Sept,588.90,503.70,61.70,23.40,1343.30,979.60,246.50,116.90
Oct,586.10,491.70,72.30,22.20,1284.70,943.40,240.20,101.10
Nov,541.00,421.20,78.40,41.40,1155.50,812.30,220.60,122.60
